part_number,manufacturer,category,subcategory,images_link,attributes,car_manufacturer,car_year,car_model,car_submodel,name,description,base_price,currency,available_quantity,stock_status,supplier_sku,pack_size,info_link
AP63,AUTOLITE,Ignition,Spark Plug,/info/15/AP63_Front__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,"Platinum; Pre-Set Gap: 0.032""",to be scraped,1.12,€1.12,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=55241&cc=1439131&pt=7212
4,ACDELCO,Ignition,Spark Plug,/info/341/19307141_Primary__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,"Professional; Rapidfire; Pre-Set Gap: 0.041""",to be scraped,2.97,€2.97,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=89925&cc=1439131&pt=7212
SP1041,SKP,Ignition,Spark Plug,/info/983/sp1041__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Iridium Core w/ Platinum Tip; Tapered Ground Electrode w/ Platinum Chip,to be scraped,3.18,€3.18,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=11398265&cc=1439131&pt=7212
9804,CHAMPION,Ignition,Spark Plug,/info/12/CCH_9804_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,"Iridium; Pre-Set Gap: 0.03""",to be scraped,4.90,€4.90,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=960074&cc=1439131&pt=7212
7415,CHAMPION,Ignition,Spark Plug,/info/12/CCH_7415_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,"Double Platinum Power; Pre-Set Gap: 0.032""",to be scraped,4.04,€4.04,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=5260962&cc=1439131&pt=7212
3115,ANCO,Wiper & Washer,Wiper Blade,/info/29/31-15_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,ANCO 31-Series Wiper Blade; Conventional,to be scraped,1.29,€1.29,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=532560&cc=1439131&pt=8852
700215,SPLASH,Wiper & Washer,Wiper Blade,/info/1163/WSP_700215_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Splash Safeview Conventional Wiper Blade,to be scraped,1.78,€1.78,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=15106549&cc=1439131&pt=8852
31150,TRICO,Wiper & Washer,Wiper Blade,/info/159/31-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,View Wiper Blade; Conventional,to be scraped,1.87,€1.87,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=4005015&cc=1439131&pt=8852
9115,ANCO,Wiper & Washer,Wiper Blade,/info/29/AN_9115_Fro__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,AeroVantage,to be scraped,2.62,€2.62,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=532538&cc=1439131&pt=8852
151,TRICO,Wiper & Washer,Wiper Blade,/info/159/15-1_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Exact Fit Wiper Blade; Conventional,to be scraped,3.33,€3.33,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=50721&cc=1439131&pt=8852
14C15,ANCO,Wiper & Washer,Wiper Blade,/info/29/14C-15_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,ANCO 14-Series Wiper Blade; Conventional,to be scraped,1.69,€1.69,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=8322916&cc=1439131&pt=8852
30150,TRICO,Wiper & Washer,Wiper Blade,/info/159/30-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,30-Series Wiper Blade; Conventional,to be scraped,1.83,€1.83,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=362129&cc=1439131&pt=8852
9715,ANCO,Wiper & Washer,Wiper Blade,/info/29/97-15_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,ANCO 97-Series Wiper Blade; Conventional,to be scraped,1.89,€1.89,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=8932356&cc=1439131&pt=8852
700515,SPLASH,Wiper & Washer,Wiper Blade,/info/1163/12-220_A__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Accuvision,to be scraped,3.01,€3.01,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=15106677&cc=1439131&pt=8852
700515WR,SPLASH,Wiper & Washer,Wiper Blade,/info/1163/6eb06b99-925d-4f55-9a17-78e5daffd9e5__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Splash Weather Repel Beam Wiper Blade,to be scraped,3.93,€3.93,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=17669181&cc=1439131&pt=8852
18150,TRICO,Wiper & Washer,Wiper Blade,/info/159/18-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Flex,to be scraped,4.31,€4.31,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=4004934&cc=1439131&pt=8852
A15M,ANCO,Wiper & Washer,Wiper Blade,/info/29/A-15-M_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Profile,to be scraped,4.63,€4.63,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=2542548&cc=1439131&pt=8852
56140,TRICO,Wiper & Washer,Wiper Blade,/info/159/56-140_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,High Mileage,to be scraped,5.87,€5.87,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14832637&cc=1439131&pt=8852
25150,TRICO,Wiper & Washer,Wiper Blade,/info/159/25-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Force,to be scraped,5.97,€5.97,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=4004997&cc=1439131&pt=8852
3015,ANCO,Wiper & Washer,Wiper Blade,/info/29/AN_3015_Fro__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Winter; Conventional Blade w/ Anti-Icing Boots,to be scraped,3.70,€3.70,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=532554&cc=1439131&pt=8852
35150,TRICO,Wiper & Washer,Wiper Blade,/info/159/35-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Ice; Beam Style,to be scraped,4.29,€4.29,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=7001316&cc=1439131&pt=8852
E15M,ANCO,Wiper & Washer,Wiper Blade,/info/29/E-15-M_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Extreme Weather,to be scraped,4.69,€4.69,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14759081&cc=1439131&pt=8852
32150,TRICO,Wiper & Washer,Wiper Blade,/info/159/32-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Sentry; Hybrid,to be scraped,4.84,€4.84,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=5756013&cc=1439131&pt=8852
801416,ACDELCO,Wiper & Washer,Wiper Blade,/info/308/19388164_Primary__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Gold; Hybrid,to be scraped,10.01,€10.01,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=10363936&cc=1439131&pt=8852
C15UB,ANCO,Wiper & Washer,Wiper Blade,/info/29/C-15-UB_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Contour,to be scraped,5.83,€5.83,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=2542546&cc=1439131&pt=8852
13150,TRICO,Wiper & Washer,Wiper Blade,/info/159/13-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Ultra,to be scraped,6.84,€6.84,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=11105945&cc=1439131&pt=8852
90150,TRICO,Wiper & Washer,Wiper Blade,/info/159/90-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,1300,1.3L L4,Silicone Ceramic,to be scraped,11.49,€11.49,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14832837&cc=1439131&pt=8852
AF3300,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF3300_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Prime®; Low Silicate Blend; 1 Gallon; Green; IAT,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=12973401&cc=1439378&pt=11393
GREEN5050GAL,FVP,Cooling System,Coolant / Antifreeze,/info/949/50 50 prediluted orig green front VP__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Low Silicate Blend; 1 Gallon; Green; IAT,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=13527801&cc=1439378&pt=11393
MV5050GAL,FVP,Cooling System,Coolant / Antifreeze,/info/949/50 50 prediluted multi vehicle front VP__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Extended Life; All Makes / All Models; 1 Gallon,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=13527805&cc=1439378&pt=11393
719009,VALVOLINE,Cooling System,Coolant / Antifreeze,/info/272/719005__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Universal Yellow; 1 Gallon,to be scraped,,,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=10411221&cc=1439378&pt=11393
AF3100,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF3100_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Prime All Vehicles Antifreeze 50/50 1 Gallon,to be scraped,,,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=12973397&cc=1439378&pt=11393
AF2100,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF2100_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Extended Life 50/50, Ready to Use; Extended Life; All Makes / All Models; 1 Gallon",to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=12973389&cc=1439378&pt=11393
AFMAX,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF2850_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Prestone MAX Antifreeze/Coolant All Vehicles; Concentrate; 1 Gallon; 56/44 Premixed,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=17266809&cc=1439378&pt=11393
6H1518,WELLS,Cooling System,Cooling Fan Control Module,/info/903/6H1518__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,,to be scraped,30.47,€30.47,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=13048597&cc=1439378&pt=12955
300,CHAMPION,Ignition,Spark Plug,/info/12/CCH_300_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Copper Plus; Pre-Set Gap: 0.032""",to be scraped,0.72,€0.72,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=317920&cc=1439378&pt=7212
63,AUTOLITE,Ignition,Spark Plug,/info/15/63_Front__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Copper Resistor; Pre-Set Gap: 0.032""",to be scraped,0.78,€0.78,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=54680&cc=1439378&pt=7212
R42XLS,ACDELCO,Ignition,Spark Plug,/info/341/19354424_Primary__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"GM Original Equipment; Conventional; Pre-Set Gap: 0.035""",to be scraped,0.92,€0.92,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=89983&cc=1439378&pt=7212
415,CHAMPION,Ignition,Spark Plug,/info/12/CCH_415_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Copper Plus; Pre-Set Gap: 0.032""",to be scraped,1.52,€1.52,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=205550&cc=1439378&pt=7212
4151,CHAMPION,Ignition,Spark Plug,/info/12/CCH_4151_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Copper Plus; Classification: Champion Copper Plus Small Engine,to be scraped,1.75,€1.75,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=978888&cc=1439378&pt=7212
AP63,AUTOLITE,Ignition,Spark Plug,/info/15/AP63_Front__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Platinum; Pre-Set Gap: 0.032""",to be scraped,1.12,€1.12,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=55241&cc=1439378&pt=7212
4,ACDELCO,Ignition,Spark Plug,/info/341/19307141_Primary__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Professional; Rapidfire; Pre-Set Gap: 0.041""",to be scraped,2.97,€2.97,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=89925&cc=1439378&pt=7212
SP1041,SKP,Ignition,Spark Plug,/info/983/sp1041__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Iridium Core w/ Platinum Tip; Tapered Ground Electrode w/ Platinum Chip,to be scraped,3.18,€3.18,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=11398265&cc=1439378&pt=7212
9804,CHAMPION,Ignition,Spark Plug,/info/12/CCH_9804_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Iridium; Pre-Set Gap: 0.03""",to be scraped,4.90,€4.90,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=960074&cc=1439378&pt=7212
7415,CHAMPION,Ignition,Spark Plug,/info/12/CCH_7415_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,"Double Platinum Power; Pre-Set Gap: 0.032""",to be scraped,4.04,€4.04,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=5260962&cc=1439378&pt=7212
PTK22,VARIOUS MFR,Transmission-Automatic,Filter,/info/690/PG_PTK22_Fro__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=14267745&cc=1439378&pt=8600
3115,ANCO,Wiper & Washer,Wiper Blade,/info/29/31-15_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,ANCO 31-Series Wiper Blade; Conventional,to be scraped,1.29,€1.29,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=532560&cc=1439378&pt=8852
700215,SPLASH,Wiper & Washer,Wiper Blade,/info/1163/WSP_700215_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Splash Safeview Conventional Wiper Blade,to be scraped,1.78,€1.78,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=15106549&cc=1439378&pt=8852
31150,TRICO,Wiper & Washer,Wiper Blade,/info/159/31-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,View Wiper Blade; Conventional,to be scraped,1.87,€1.87,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=4005015&cc=1439378&pt=8852
9115,ANCO,Wiper & Washer,Wiper Blade,/info/29/AN_9115_Fro__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,AeroVantage,to be scraped,2.62,€2.62,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=532538&cc=1439378&pt=8852
151,TRICO,Wiper & Washer,Wiper Blade,/info/159/15-1_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Exact Fit Wiper Blade; Conventional,to be scraped,3.33,€3.33,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=50721&cc=1439378&pt=8852
14C15,ANCO,Wiper & Washer,Wiper Blade,/info/29/14C-15_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,ANCO 14-Series Wiper Blade; Conventional,to be scraped,1.69,€1.69,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=8322916&cc=1439378&pt=8852
30150,TRICO,Wiper & Washer,Wiper Blade,/info/159/30-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,30-Series Wiper Blade; Conventional,to be scraped,1.83,€1.83,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=362129&cc=1439378&pt=8852
9715,ANCO,Wiper & Washer,Wiper Blade,/info/29/97-15_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,ANCO 97-Series Wiper Blade; Conventional,to be scraped,1.89,€1.89,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=8932356&cc=1439378&pt=8852
700515,SPLASH,Wiper & Washer,Wiper Blade,/info/1163/12-220_A__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Accuvision,to be scraped,3.01,€3.01,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=15106677&cc=1439378&pt=8852
700515WR,SPLASH,Wiper & Washer,Wiper Blade,/info/1163/6eb06b99-925d-4f55-9a17-78e5daffd9e5__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Splash Weather Repel Beam Wiper Blade,to be scraped,3.93,€3.93,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=17669181&cc=1439378&pt=8852
18150,TRICO,Wiper & Washer,Wiper Blade,/info/159/18-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Flex,to be scraped,4.31,€4.31,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=4004934&cc=1439378&pt=8852
A15M,ANCO,Wiper & Washer,Wiper Blade,/info/29/A-15-M_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Profile,to be scraped,4.63,€4.63,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=2542548&cc=1439378&pt=8852
56140,TRICO,Wiper & Washer,Wiper Blade,/info/159/56-140_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,High Mileage,to be scraped,5.87,€5.87,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14832637&cc=1439378&pt=8852
25150,TRICO,Wiper & Washer,Wiper Blade,/info/159/25-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Force,to be scraped,5.97,€5.97,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=4004997&cc=1439378&pt=8852
3015,ANCO,Wiper & Washer,Wiper Blade,/info/29/AN_3015_Fro__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Winter; Conventional Blade w/ Anti-Icing Boots,to be scraped,3.70,€3.70,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=532554&cc=1439378&pt=8852
35150,TRICO,Wiper & Washer,Wiper Blade,/info/159/35-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Ice; Beam Style,to be scraped,4.29,€4.29,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=7001316&cc=1439378&pt=8852
E15M,ANCO,Wiper & Washer,Wiper Blade,/info/29/E-15-M_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Extreme Weather,to be scraped,4.69,€4.69,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14759081&cc=1439378&pt=8852
32150,TRICO,Wiper & Washer,Wiper Blade,/info/159/32-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Sentry; Hybrid,to be scraped,4.84,€4.84,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=5756013&cc=1439378&pt=8852
801416,ACDELCO,Wiper & Washer,Wiper Blade,/info/308/19388164_Primary__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Gold; Hybrid,to be scraped,10.01,€10.01,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=10363936&cc=1439378&pt=8852
C15UB,ANCO,Wiper & Washer,Wiper Blade,/info/29/C-15-UB_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Contour,to be scraped,5.83,€5.83,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=2542546&cc=1439378&pt=8852
13150,TRICO,Wiper & Washer,Wiper Blade,/info/159/13-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Ultra,to be scraped,6.84,€6.84,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=11105945&cc=1439378&pt=8852
90150,TRICO,Wiper & Washer,Wiper Blade,/info/159/90-150_Angle__ra_m.jpg,to be scraped,ABARTH,1969,2000,1.9L L4,Silicone Ceramic,to be scraped,11.49,€11.49,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14832837&cc=1439378&pt=8852
MGD9M,RAYBESTOS,Brake & Wheel Hub,Brake Pad,/info/27/MGD9M_FRO__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,R-Line; Metallic or Semi-Metallic,to be scraped,11.83,€11.83,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=11751273&cc=1494895&pt=1684
PGD9M,RAYBESTOS,Brake & Wheel Hub,Brake Pad,/info/27/PGD9M_FRO__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Element 3; Metallic or Semi-Metallic,to be scraped,25.53,€25.53,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=298881&cc=1494895&pt=1684
10600090,CENTRIC,Brake & Wheel Hub,Brake Pad,/info/142/106.00090_Top__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Posi-Quiet Extended Wear; Semi-Metallic,to be scraped,22.81,€22.81,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=1624914&cc=1494895&pt=1684
AF3300,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF3300_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Prime®; Low Silicate Blend; 1 Gallon; Green; IAT,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=12973401&cc=1494895&pt=11393
GREEN5050GAL,FVP,Cooling System,Coolant / Antifreeze,/info/949/50 50 prediluted orig green front VP__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Low Silicate Blend; 1 Gallon; Green; IAT,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=13527801&cc=1494895&pt=11393
MV5050GAL,FVP,Cooling System,Coolant / Antifreeze,/info/949/50 50 prediluted multi vehicle front VP__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Extended Life; All Makes / All Models; 1 Gallon,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=13527805&cc=1494895&pt=11393
719009,VALVOLINE,Cooling System,Coolant / Antifreeze,/info/272/719005__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Universal Yellow; 1 Gallon,to be scraped,,,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=10411221&cc=1494895&pt=11393
AF3100,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF3100_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Prime All Vehicles Antifreeze 50/50 1 Gallon,to be scraped,,,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=12973397&cc=1494895&pt=11393
AF2100,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF2100_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,"Extended Life 50/50, Ready to Use; Extended Life; All Makes / All Models; 1 Gallon",to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=12973389&cc=1494895&pt=11393
AFMAX,PRESTONE,Cooling System,Coolant / Antifreeze,/info/692/AF2850_P04_FRO__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,Prestone MAX Antifreeze/Coolant All Vehicles; Concentrate; 1 Gallon; 56/44 Premixed,to be scraped,,,tobescraped,True,to be determined later with the client,,https://www.rockauto.com/en/moreinfo.php?pk=17266809&cc=1494895&pt=11393
6H1518,WELLS,Cooling System,Cooling Fan Control Module,/info/903/6H1518__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,,to be scraped,30.47,€30.47,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=13048597&cc=1494895&pt=12955
H6024,SYLVANIA,Electrical-Bulb & Socket,Headlamp Bulb,/info/716/SYLVANIA_H6024FrontView__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,"7"" Diameter",to be scraped,7.05,€7.05,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=4223157&cc=1494895&pt=11701
H6024XV,SYLVANIA,Electrical-Bulb & Socket,Headlamp Bulb,/info/716/SYLVANIA_H6024XtraVisionFrontView__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,"Xtravision; 7"" Diameter",to be scraped,12.11,€12.11,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14803325&cc=1494895&pt=11701
H6024ST,SYLVANIA,Electrical-Bulb & Socket,Headlamp Bulb,/info/716/SYLVANIA_H6024_BP2_SilverStar_BackView_5__ra_m.jpg,to be scraped,ABARTH,1969,SIMCA,1.3L L4,"Silverstar; 7"" Diameter",to be scraped,15.27,€15.27,tobescraped,True,to be determined later with the client,x1,https://www.rockauto.com/en/moreinfo.php?pk=14803321&cc=1494895&pt=11701
